id,basename,name,year,platform,genres,critic_score,user_score
495764,golf-it,Golf It!,2017,"PC","Sports",,
18703,god-of-war-iii,God of War III,2010,"PS3","Action",9.2,9.4
495122,state-of-decay-2,State of Decay 2,2018,"PC,XOne","Action-Adventure",7,
8543,mario-amp-luigi-superstar-saga,Mario & Luigi: Superstar Saga,2003,"WiiU,GBA","Role-Playing,Misc",8.8,
494364,death-stranding,Death Stranding,2019,"PS4","Action",,
490177,blood-bowl-2,Blood Bowl 2,2015,"PC,PS4,XOne","Sports",,
12983,spore,Spore,2008,"PC","Strategy",7,
16967,the-legend-of-zelda-the-wind-waker,The Legend of Zelda: The Wind Waker,2003,"GC,WiiU","Action-Adventure,Adventure",9.6,
492504,human-fall-flat,Human: Fall Flat,2017,"NS","Platform",,
19180,final-fantasy-xv,Final Fantasy XV,2016,"XOne,PS4","Role-Playing",8.1,
91419,metal-gear-solid-v-the-phantom-pain,Metal Gear Solid V: The Phantom Pain,2015,"PS3,PS4,PC,X360,XOne","Action,Action-Adventure",,
24623,mechwarrior-online,MechWarrior Online,2013,"PC","Misc",,
17464,sonic-adventure-2,Sonic Adventure 2,2001,"PS3,PC,X360,DC","Platform",8.9,
491177,slime-rancher,Slime Rancher,2017,"XOne,Linux,OSX,PC,PS4","Simulation",,
1654,gothic-ii,Gothic II,2003,"PC","Role-Playing",8,
21136,wakfu,Wakfu,2012,"PC","Role-Playing",,
27127,amnesia-the-dark-descent,Amnesia: The Dark Descent,2010,"PC","Action",8.7,
369579,tom-clancys-the-division,Tom Clancy's The Division,2016,"PS4,PC,XOne","Shooter",,
29179,neverwinter,Neverwinter,2013,"PC,XOne","Role-Playing",,
498000,house-flipper,House Flipper,1995,"PC","Simulation",,
491572,stellaris,Stellaris,2016,"PC","Strategy",,
476396,super-meat-boy-forever,Super Meat Boy Forever,2019,"And,PC,PS4,NS,XOne","Platform",,
11989,starcraft,StarCraft,1998,"PC,OSX","Strategy,Misc",8.7,
6490,star-wars-battlefront-ii,Star Wars: Battlefront II,2009,"PSN","Shooter",,
30740,the-walking-dead-season-one,The Walking Dead: Season One,2014,"XOne","Adventure",,
15323,legend-of-legaia,Legend of Legaia,1999,"PS","Role-Playing",8.1,
26881,grim-dawn,Grim Dawn,2004,"PC","Role-Playing",,
493549,frostpunk,Frostpunk,2011,"PC","Strategy",,
10033,banjo-kazooie,Banjo-Kazooie,1998,"XBL,N64","Platform",9.3,9.4
89297,danganronpa-2-goodbye-despair,Danganronpa 2: Goodbye Despair,2012,"PSP,PC,PSV","Adventure",,
18522,phantasy-star-online,Phantasy Star Online,2001,"PC,DC","Role-Playing",8.9,
496697,code-vein,Code Vein,2019,"XOne,PC,PS4","Action",,
6715,doom,DOOM,1993,"SNES,SAT,XBL,GBA,PC,AJ,3DO,PS","Shooter",8.3,
369591,donkey-kong-country-tropical-freeze,Donkey Kong Country: Tropical Freeze,2014,"WiiU,NS","Platform",9.1,9.1
498341,pikuniku,Pikuniku,2019,"PC,NS","Puzzle",,
18734,borderlands,Borderlands,2009,"X360,PC,PS3,PSN","Shooter",8.3,
18181,final-fantasy-tactics,Final Fantasy Tactics,1998,"PS,And,PSP,PSN","Misc,Role-Playing",8.8,
12453,grand-theft-auto,Grand Theft Auto,1998,"GBA,PC,PS,GB","Action",7.1,
4157,medal-of-honor-allied-assault,Medal of Honor: Allied Assault,2002,"PC","Shooter",9.3,
489642,bloodstained-ritual-of-the-night,Bloodstained: Ritual of the Night,2019,"NS,PC,PS4,XOne","Action-Adventure",,
491788,kona,Kona,2018,"NS","Adventure",,
65950,beyond-two-souls,Beyond: Two Souls,,"PS3,PC,PS4","Adventure",,
7912,titan-quest,Titan Quest,2006,"XOne,PC,PS4,NS","Action,Role-Playing",7.6,
18808,resident-evil-5,Resident Evil 5,2009,"XBL,PS3,PC,PS4,X360,XOne","Action",8.9,8.8
15013,prey,Prey,2006,"X360,PC,XBL","Shooter",8.5,
12022,baldurs-gate-dark-alliance,Baldur's Gate: Dark Alliance,2001,"GBA,PS2,XB,GC","Role-Playing",8,
495961,dead-cells,Dead Cells,2017,"PC,PS4,NS,XOne","Action",9.3,
83418,tarot,Tarot,2009,"XBL","Misc",,
85857,inside,INSIDE,2016,"PC,PS4,NS,XOne","Platform,Adventure",9,
510580,the-outer-worlds,The Outer Worlds,,"XOne,PC,PS4","Role-Playing",,
18917,tony-hawks-proving-ground,Tony Hawk's Proving Ground,2007,"Wii,PS2,DS,PS3,X360","Sports",7.2,
26559,batman-arkham-city,Batman: Arkham City,2011,"X360,PC,PS3","Action",9.6,
488758,vampyr,Vampyr,2018,"PS4,PC,XOne","Role-Playing",,8.5
509508,super-mario-bros,Super Mario Bros.,1985,"NES,3DS,VC,WiiU","Platform,Misc",9,
369075,a-hat-in-time,A Hat in Time,2017,"XOne,PC,PS4,OSX","Platform",,
497456,days-gone,Days Gone,2019,"PS4","Action-Adventure",,
491334,kartrider,Kartrider,2007,"PC","Racing",,
11386,metal-gear-solid-2-sons-of-liberty,Metal Gear Solid 2: Sons of Liberty,2001,"PS2,PS3,PC,X360","Misc,Action",9.5,7
459527,gang-beasts,Gang Beasts,2017,"PC","Fighting",6,
12065,yakuza-2,Yakuza 2,2008,"PS2","Adventure",7.9,
