id,basename,name,year,platform,genres,critic_score,user_score
3427,sid-meiers-civilization,Sid Meier's Civilization,1991,"SNES,PC","Strategy",,
24193,left-4-dead-2,Left 4 Dead 2,2009,"OSX,X360,PC","Shooter,Misc",9,
18707,grand-theft-auto-iv,Grand Theft Auto IV,2008,"PC,XBL,X360,PS3","Action",9.2,9
313197,assetto-corsa,Assetto Corsa,2014,"XOne,PC,PS4","Racing",6,
492535,celeste,Celeste,2018,"XOne,NS,PS4,PC","Platform",9.3,
20063,silkroad-online,Silkroad Online,2004,"PC","Role-Playing",,
499856,ghost-of-tsushima,Ghost of Tsushima,2019,"PS4","Action-Adventure",,
11065,castlevania-aria-of-sorrow,Castlevania: Aria of Sorrow,2003,"GBA","Platform",8.8,
488910,american-truck-simulator,American Truck Simulator,2016,"PC","Simulation",,
493551,conan-exiles,Conan Exiles,2018,"XOne,PC,PS4","Action-Adventure",,
494683,thehunter-call-of-the-wild,theHunter: Call of the Wild,2017,"PS4,XOne,PC","Shooter",,
499929,erica,Erica,2019,"PS4","Adventure",,
458353,darkest-dungeon,Darkest Dungeon,2016,"PS4,NS,OSX,Linux,XOne,PSV,PC","Role-Playing",,
504199,battlefield-v,Battlefield V,2018,"XOne,PS4,PC","Shooter",,
14678,lineage-the-blood-pledge,Lineage: The Blood Pledge,2001,"PC","Role-Playing",,
21934,star-wars-the-old-republic,Star Wars: The Old Republic,2011,"PC","Role-Playing",8.4,
508289,wwe-2k19,WWE 2K19,2018,"PC,XOne,PS4","Fighting",,
488820,stranded-deep,Stranded Deep,2009,"PC","Adventure",,
6521,grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,2004,"PC,WinP,OSX,PS2,XB,XBL,And,PS3","Misc,Action",9.5,
27103,sid-meiers-civilization-v,Sid Meier's Civilization V,2010,"PC","Strategy",8.9,
1041,diablo-ii,Diablo II,2000,"PC","Role-Playing",8.8,
19731,portal-2,Portal 2,2011,"X360,PS3,PC","Shooter",9.7,
503446,star-wars-jedi-fallen-order,Star Wars Jedi: Fallen Order,,"XOne,PC,PS4","Misc",,
5126,resident-evil-3-nemesis,Resident Evil 3: Nemesis,1999,"PS,DC,PSN,GC,PC","Action",9.4,
91423,dark-souls-ii,Dark Souls II,2014,"PC,PS3,X360","Role-Playing",,
490713,undertale,Undertale,2015,"PS4,NS,OSX,PSV,PC","Role-Playing,Misc",9,
7595,super-metroid,Super Metroid,1994,"SNES,VC","Adventure",9,
370472,wreckfest,Wreckfest,2018,"PC,XOne,PS4","Racing",,
494591,absolver,Absolver,,"PS4","Role-Playing",,
1654,gothic-ii,Gothic II,2003,"PC","Role-Playing",8,
491318,borderlands-3,Borderlands 3,2019,"XOne,PC,PS4","Shooter",,
105451,game-dev-tycoon,Game Dev Tycoon,2013,"OSX,PC","Simulation,Misc",,
65663,company-of-heroes-2,Company of Heroes 2,2013,"PC","Misc",,
489776,fallout-4,Fallout 4,2015,"PS4,PC,XOne","Role-Playing",9,
6369,god-of-war,God of War,2005,"PS2","Action",9.3,
506442,doom-eternal,DOOM Eternal,2019,"XOne,NS,PC,PS4","Shooter",,
504735,shadow-of-the-tomb-raider,Shadow of the Tomb Raider,2018,"PS4,PC,XOne","Action-Adventure",,
488632,enter-the-gungeon,Enter the Gungeon,2016,"OSX,Linux,NS,PC,PS4","Action,Shooter",,8.4
15229,ragnarok-online,Ragnarok Online,2002,"PC","Role-Playing",,
10322,final-fantasy-x,Final Fantasy X,2001,"PS2","Role-Playing",9,10
822,devil-may-cry-3-dantes-awakening,Devil May Cry 3: Dante's Awakening,2005,"PC,PS2","Misc,Action",8.6,
73586,outlast,Outlast,2014,"PS4,PC","Misc",,
29918,warface,Warface,2020,"PC,PS3,X360","Misc",,
11988,final-fantasy-vii,Final Fantasy VII,1997,"PC,PS4,NS,XOne,PS,PSN,And,iOS","Role-Playing",9.6,9.5
510117,outlast-ii,Outlast II,,"XOne,NS,PC,PS4","Action",,
510825,atlas,Atlas,2018,"XOne,PC","MMO",,
458781,no-mans-sky,No Man's Sky,2016,"PC,XOne,PS4","Action-Adventure",6.8,
369567,halo-5-guardians,Halo 5: Guardians,2015,"XOne","Shooter",8.6,
488436,rivals-of-aether,Rivals of Aether,2016,"PC","Fighting",,
31339,project-zomboid,Project Zomboid,2020,"Linux,OSX,PC","Misc",,
7184,barbie-horse-adventures-wild-horse-rescue,Barbie Horse Adventures: Wild Horse Rescue,2003,"PS2,XB","Sports",,
14766,super-mario-galaxy,Super Mario Galaxy,2007,"Wii","Platform",9.7,9.6
24664,heroes-of-newerth,Heroes of Newerth,2010,"PC","Strategy",,
489767,xcom-2,XCOM 2,2015,"XOne,Linux,OSX,PS4,PC","Strategy",,
1736,tetris,Tetris,1989,"GB,NES,PSN,WS","Puzzle",7.5,
458738,desert-bus,Desert Bus,2013,"And","Action",,
33180,the-last-of-us,The Last of Us,2013,"PS3","Action-Adventure",9.5,
2755,half-life,Half-Life,1998,"OSX,PC,PS2","Misc,Shooter",9.5,
65718,lego-the-lord-of-the-rings,LEGO The Lord of the Rings,2012,"PC,DS,OSX,3DS,PSV,Wii,X360,PS3","Action-Adventure,Misc",,
66402,battlefield-4,Battlefield 4,2013,"PS3,PC,XOne,X360,PS4","Shooter",8.7,
10775,stalker-shadow-of-chernobyl,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,"PC","Shooter",8,
490359,final-fantasy-vii-remake,Final Fantasy VII Remake,2019,"PS4","Role-Playing",,
490348,dishonored-2,Dishonored 2,2016,"PS4,PC,XOne","Action",,
496902,slay-the-spire,Slay the Spire,2019,"NS,OSX,Linux,PC","Strategy",,
6715,doom,DOOM,1993,"AJ,3DO,SNES,PS,XBL,SAT,GBA,PC","Shooter",8.3,
492850,monster-hunter-generations,Monster Hunter Generations,2016,"3DS","Action",8.8,
18381,warcraft-ii-tides-of-darkness,Warcraft II: Tides of Darkness,1996,"OSX,PC,MSD","Strategy,Misc",9.3,
497078,far-cry-5,Far Cry 5,2018,"XOne,PS4,PC","Action",7.9,
506462,control,Control,2019,"XOne,PC,PS4","Adventure",,
491909,phoenix-point,Phoenix Point,2019,"XOne,PC","Strategy",,
14081,sly-cooper-and-the-thievius-raccoonus,Sly Cooper and the Thievius Raccoonus,2002,"PS2","Platform",,
11989,starcraft,StarCraft,1998,"OSX,PC","Misc,Strategy",8.7,
7830,age-of-empires-iii,Age of Empires III,2005,"PC","Strategy",8.3,
490382,for-honor,For Honor,2017,"PC,XOne,PS4","Action",,
488518,friday-the-13th-the-game,Friday the 13th: The Game,2011,"XOne,PC,PS4","Action",,
491177,slime-rancher,Slime Rancher,2017,"PC,PS4,XOne,Linux,OSX","Simulation",,
2223,gran-turismo,Gran Turismo,1998,"PS,PSP","Racing",9.5,9.5
300,who-wants-to-be-a-millionaire,Who Wants To Be A Millionaire,1999,"PC,GBA,PS,DC","Misc",,
12482,the-legend-of-zelda-majoras-mask,The Legend of Zelda: Majora's Mask,2000,"VC,N64","Adventure",9.5,
65997,payday-2,PAYDAY 2,2013,"PS3,PC,NS,XOne,X360,PS4","Shooter",6.5,
498459,jurassic-world-evolution,Jurassic World Evolution,2018,"XOne,PC,PS4","Simulation",,
510150,diablo-immortal,Diablo Immortal,2019,"And,iOS","Action",,
510044,trine-4-the-nightmare-prince,Trine 4: The Nightmare Prince,,"XOne,NS,PC,PS4","Action-Adventure",,
461449,cities-skylines,Cities: Skylines,2015,"PS4,NS,XOne,OSX,Linux,PC","Simulation",,
31761,dragon-age-inquisition,Dragon Age: Inquisition,2014,"PS4,PC,XOne,X360,PS3","Role-Playing",,
1757,heroes-of-might-and-magic-v,Heroes of Might and Magic V,2006,"PC","Strategy",,
460619,ori-and-the-blind-forest,Ori and the Blind Forest,2015,"XOne,PC","Platform",,
5360,resident-evil,Resident Evil,1996,"DS,PC,NS,PS4,XOne,PS,SAT,GC","Action-Adventure,Misc,Action",8.9,
391475,space-engineers,Space Engineers,2013,"XOne,PC","Simulation",,
9250,mario-kart-64,Mario Kart 64,1997,"iQue,VC,N64","Racing",8.5,
20061,cabal-online,CABAL Online,1990,"PC","Role-Playing",,
18871,mario-kart-wii,Mario Kart Wii,2008,"Wii","Racing",8.2,9.1
488500,battlefield-1,Battlefield 1,2016,"PC,XOne,PS4","Shooter",,
494364,death-stranding,Death Stranding,2019,"PS4","Action",,
458224,soma,SOMA,2016,"OSX,Linux,XOne,PC","Adventure,Action",,9
369380,dying-light,Dying Light,2015,"PS4,PS3,XOne,X360,PC","Action",,
418016,the-long-dark,The Long Dark,2017,"XOne,OSX,Linux,PC,PS4","Simulation",,
369585,kingdom-hearts-iii,Kingdom Hearts III,2019,"XOne,PS4","Role-Playing",,
488635,naruto-shippuden-ultimate-ninja-storm-4,Naruto Shippuden: Ultimate Ninja Storm 4,2016,"XOne,PS4,PC","Fighting",,
10710,counter-strike,Counter-Strike,2000,"PC,OSX,XB","Shooter,Misc",,
491539,super-robot-wars-og-the-moon-dwellers,Super Robot Wars OG: The Moon Dwellers,2016,"PS3,PS4","Misc",,
67637,until-dawn,Until Dawn,2014,"PS4,PS3","Misc,Adventure",,
500626,soulcalibur-vi,SoulCalibur VI,2018,"PS4,PC,XOne","Fighting",,
497411,forza-motorsport-7,Forza Motorsport 7,2017,"XOne,PC","Racing",8.9,
733,card-games,Card Games,2001,"PS","Misc",,
11705,super-paper-mario,Super Paper Mario,2007,"Wii","Platform",8.5,
16967,the-legend-of-zelda-the-wind-waker,The Legend of Zelda: The Wind Waker,2003,"WiiU,GC","Adventure,Action-Adventure",9.6,
